place,cells,people,med_depth,max_depth,buildings,km2
Machgaon,248006,78918.01,0.701987,5.7279234,14896,223.2054
Ersama,201156,58256.48,1.1322272,2.210885,9222,181.0404
Balikuda,130598,49109.543,0.22019471,5.277381,6762,117.5382
Tirtol,4919,624.0179,0.12964198,1.2326486,71,4.4271
