lon,lat,cap,kind,name,roof_m2,n_buildings,site_m2
85.0990551318196,25.571327493608504,715,school,"B.D Public School, Beur",2502.1974954848906,1,1702
84.99862222172106,25.572142828165696,6,school,Middle school manpura,20.186761839441097,1,331
84.9996047562854,25.573178221852203,6,school,middle school(Dariyapur),19.77245292131049,1,63
85.04555091757065,25.580257283701386,1139,school,"Balika school,khagaul",3985.9514590703097,11,4369
85.04801623831,25.58103187281845,382,school,"Railway school,khagaul",1338.4207401109472,6,10369
85.04702179943601,25.58416746254379,340,college,"Mahilla college,khagaul",1191.1789759899245,1,1801
85.10140950085811,25.585535222332666,467,school,Basic Point Study Circle (BPSC),1633.729531198821,2,605
85.03255981708723,25.584877577406093,797,school,kendriya vidayalaya,2791.210407064462,4,18167
85.03462704504547,25.585352029518443,217,school,old kendriya vidayalaya,757.9728213697922,3,6627
85.09705514113708,25.58674971203445,152,school,Kids International High School,531.7824510947107,1,397
85.0462340822028,25.586340285209573,192,school,st. paul's academy old school,673.6127097896879,2,552
85.0448438069251,25.58669254225147,226,school,St.Mary's School,791.2141640771598,2,247
85.0436184149918,25.587371992558946,103,school,St. Joseph's School,359.9545503931762,3,435
85.08710635825656,25.59573133000612,10020,college,"Birla Institute of Technology, Patna",35068.75031782376,24,131948
85.05343478384373,25.609355938079993,2384,school,,8344.717473997272,8,9406
85.05354619465004,25.614932580531416,1382,community_centre,S.K.PALACE,4836.091692451392,2,2619
85.05276896818854,25.61533488589034,1636,community_centre,Mandap,5726.186279337774,1,3399
85.05338858113885,25.615938410792538,1781,community_centre,RAJ GHARANA Banquet Hal,6232.364091411909,5,5009
85.08541872959258,25.619506082772034,213,school,St. Mary Academy,746.6736740818691,1,617
85.05307735347334,25.620972530833757,5131,school,Gyan Niketan School,17959.069446992256,17,24884
85.08781466151946,25.621464947645137,87,school,Vaatsalya The Global School,303.15537445380045,1,261
85.0565347725695,25.621365907159188,1768,school,St. Karen's High School,6186.692811429153,5,10759
85.10232099101866,25.628625283002073,359,university,,1255.6260804654914,1,1251
85.05552087908896,25.628271969031253,531,community_centre,T-Point Resort,1857.2246362684868,4,3984
85.10249120221266,25.628947334775688,534,university,,1868.8715383443173,2,530
85.10240453013809,25.62923817806305,182,university,,636.2391898339057,1,612
85.10205592147345,25.629513487270124,102,university,,355.4555578941601,1,281
85.10214452669092,25.629739055072925,102,university,,355.4555578941601,1,94
85.04201695337771,25.63102034326399,2680,school,K V School Danapur patna bihar,9381.099945567279,28,64376
85.04565706025068,25.63818671596058,1025,school,High School,3588.771526166986,14,19371
85.1156359822375,25.61740095769246,90,school,Dominic's Public School,316.15787836944605,1,255
85.11002173100948,25.61842721576714,5318,college,Anugrah Narayan College,18612.397942192703,27,65702
85.10406509102849,25.627234085169526,66,school,St Louis Academy,232.3745986529097,1,399
85.10292242736685,25.62757770176237,189,university,,660.7419021626474,2,259
85.1028471224644,25.627940828278643,454,university,,1587.2569918968018,2,1235
85.10307317142812,25.628518697788184,242,university,,845.6538921709465,1,609
85.10529082974669,25.628597018974435,388,school,Shivam Public School,1358.9460087245066,3,1118
85.10312285000002,25.6287256,25,university,,87.14981910644262,1,85
85.10319473620729,25.628873818601104,253,university,,884.2151358979772,1,535
85.102744,25.629122399999996,29,university,,102.09103672125147,1,132
85.10336058595148,25.62913844336712,249,university,,870.0373441918421,1,585
85.10321486817286,25.62937965281072,249,university,,870.0373441918421,1,99
85.10516373831388,25.629501129625734,450,school,,1574.6685953363763,5,2484
85.10354308986967,25.630409797217485,621,college,,2172.1081206603494,1,1276
85.10872702980672,25.634330436908307,4048,school,Notre Dame Academy,14168.056370036638,28,55072
85.10819208347695,25.63537396747675,3816,school,Loyola High School,13356.41098480422,23,22457
85.10724007904953,25.63609097269151,986,school,DPS,3450.787048819545,7,3293
85.1330760144332,25.586247242851407,944,university,Maulana Mazharul Haque Arabic and Persian University,3305.2970360467248,7,20525
85.1313441991301,25.586425691006475,493,university,IGNOU Regional Centre,1724.031764508288,4,15556
85.1317561291855,25.588102556387792,2820,college,Chandragupt Institute of Management Patna,9869.699058097123,20,39891
85.13506501585496,25.59237536970895,3228,university,Aryabhatta Knowledge University,11298.702162463063,16,35238
85.13333741361805,25.593931574828293,6189,university,Chanakya National Law University,21661.730879607505,20,72299
85.12948612753317,25.594053843609924,133,school,Learning temple School,465.80201348141367,2,177
85.1356852456926,25.59448347944308,3296,university,NIFT Patna,11535.453115014965,8,28363
85.12995196696001,25.598765684585832,62,school,Dayanand Government middle school,215.49827366246186,3,319
85.1245688760683,25.61134287913171,9072,college,Patna Women's College,31752.2298019372,40,128001
85.1250357416151,25.62078549566935,710,school,St. Paul's School,2486.5247649356515,2,359
85.13984595165971,25.62140932747265,768,school,Bankipore Girl's High School,2688.4528551521043,11,10487
85.17872537712498,25.53187335589866,315,school,St. John's Residential Public School,1104.1939373110768,1,3102
85.18907008189532,25.57733621922285,74,school,RPS Public School,258.52827165453914,6,8254
85.14997045727345,25.585609271487836,194,school,st.mary school,678.0143459995465,3,536
85.16317301389921,25.59094299011965,65,school,S.V.D school,226.6237323478319,1,164
85.22689291881636,25.593346548201726,675,school,,2361.0175964807995,10,11390
85.17409896462016,25.593204872837557,149,school,Sindhu Public School,521.6000651015992,3,166
85.17955827850929,25.593668530322052,994,community_centre,Bhagwat Milan Mandir,3479.752396270047,6,7357
85.17987496912387,25.59523641249428,1239,school,Litera Valley Zee School,4334.756509724361,9,11094
85.18017414867239,25.59661509206487,1713,school,Keshav Vidya Mandir,5997.20615259484,19,16018
85.20641331160303,25.599532708389418,231,school,Rahmat Public School,807.0938742258288,1,174
85.20591243305998,25.599973252900135,530,school,,1853.2830185791793,4,1662
85.21060726016827,25.600235059844724,562,school,Madarsa Sulemania,1968.4390014002724,9,2330
85.17400024017049,25.600239558096433,1040,college,Nalanda medical College,3638.8440780639794,2,2388
85.17418174009343,25.60516413494682,204,school,Kaushiki School,714.704564414046,2,359
85.14217574119736,25.60622306970134,147,community_centre,community hall,515.3916663053949,1,320
85.14069176023533,25.61933993856794,1887,school,"St Xavier's School, Patna",6605.222711658739,16,19677
85.164412210771,25.621619645699496,1244,university,दरभंगा हाउस,4353.626705560452,2,3736
