lon,lat,cap,kind,name,roof_m2,n_buildings,site_m2
77.10925752647607,28.51827325796767,1995,school,Sarvodya Kanya Vidyalaya Rajokari,6983.996669550641,20,37258
77.10786909291834,28.518146433802766,548,college,DSEU Rajokari Campus,1919.5430475018238,5,6306
77.12138649168267,28.577125997598696,779,school,Air Force Senior Secondary School,2725.554510240394,11,16778
77.1186088002799,28.581580617417753,92,social_facility,Umeed Niketan,323.15865704585684,3,1284
77.11717655032378,28.59014740130071,1446,school,Delhi Area Primary School 2,5061.660962355266,19,20249
77.1254872256989,28.592333306462955,1672,school,Taurus Army Pre-Primary School,5850.69778498306,12,23985
77.1181349353109,28.591779897150644,2866,school,Kendriya Vidyalaya 1,10031.985928664039,22,52851
77.1202482352164,28.592366053405296,1692,school,Shri Guru Nanak Khalsa Girls Senior Secondary School,5921.301927959839,1,1279
77.12057368417803,28.592743457514807,457,school,Shri Santan Dharam Coeducational Secondary School,1600.6264771182625,1,1490
77.12035785857599,28.59319678831236,1094,school,Geeta Shiksha Kendra,3830.189077753429,1,569
77.12263978902912,28.595776681809188,221,government,,774.8553627312879,1,102
77.12412132466144,28.59698525913492,309,school,Silver Oak,1080.3344222221926,2,3559
77.12196684612613,28.59687362870088,824,school,Dayanand Anglo-Vedic Secondary School,2884.7791035173914,4,4123
77.12286531005215,28.59746997088556,882,school,Sardar Vallabhbhai Patel Senior Secondary School,3085.280920034736,5,6273
77.1240126800851,28.59897240867348,37,police,Delhi Cantt Police Station,131.20255900991654,1,890
77.12434101576162,28.601857342980143,1981,school,Army Public School,6934.963927927497,10,45004
77.12833411553402,28.605565816565726,132,public,Delhi Labour Welfare Board,462.1027097463948,2,392
77.10451701579407,28.609386159028453,889,school,,3112.9699572576246,3,10555
77.10059480970777,28.60971937316243,284,college,,995.5406467830769,1,1658
77.10182469133282,28.610390873396714,431,college,IITM,1507.493602226353,1,697
77.10181604877097,28.610807569605754,583,college,IITM,2041.2466157954404,1,1569
77.11587901537558,28.62312801573124,556,school,,1945.3999439519082,1,13050
77.1179756924058,28.624921936500122,2355,school,New Era Public School,8241.907825379503,10,20578
77.11872725160771,28.62620143700441,2176,school,,7614.49553580112,15,32970
77.11021132778491,28.62549831029677,1455,school,"Government Boys Senior Secondary School, Site 2",5091.227950988827,14,8140
77.1114212616498,28.626271197574585,1065,school,,3727.112911523285,6,5551
77.10644848408045,28.62862584585462,5213,school,,18246.91867212094,32,61868
77.11580958255486,28.632158273670683,1304,school,,4564.4353358493445,7,12088
