lon,lat,cap,kind,name,roof_m2,n_buildings,site_m2
86.15466129313147,20.017574360083817,153,school,Gopikantapur High School,534.283977795943,1,848
86.12981091639328,20.033106416542026,96,school,Saraswati Sisu Vidya Mandira,337.2997959325354,2,420
86.15685000003742,20.04393000021807,59,osdma_mfsstplan,SUHAGPUR,207.013081046741,2,11292
86.13725000003825,20.09806000021873,390,osdma_mfscmrf,KARANGA,1365.5605409041602,22,11292
86.13204000003844,20.198440000219925,102,osdma_mcscmrf,EKBERUAN,357.75752617239687,4,11292
86.3777300000276,19.989550000217356,61,osdma_ncrmp,Dhanuharbelari,213.82388481452622,2,11292
86.34218000002916,20.02638000021781,165,osdma_mcscmrf,Marichipur,578.9019037992424,8,11292
86.26878000003248,20.042900000218026,155,osdma_shelter,Tarasahi,541.353766423387,6,11292
86.27767000003202,20.04637000021805,138,osdma_shelter,Tarasahi,483.7516155655324,6,11292
86.233630000034,19.96215000021707,502,osdma_ncrmpaf,MUDGAL,1758.0460732819522,15,11292
86.23790000003385,19.96612000021713,277,osdma_ncrmpaf,NATHARO,971.0323684434736,12,11292
86.30701000003071,19.967320000217114,492,osdma_ncrmp,MADHUPUR,1721.971163321967,24,11292
86.20842000003512,19.970620000217174,199,osdma_ncrmpaf,KUNDESHWAR,697.7089564142915,13,11292
86.32245000003009,19.972640000217172,12,osdma_ircs,NUAGAR,40.858305680944696,1,11292
86.21987000003459,19.976010000217236,226,osdma_ncrmp,KENDRAPATI,791.4061654326339,9,11292
86.30674000003079,19.99865000021748,240,osdma_ircs,NAGAR,840.7383461575375,13,11292
86.30572000003082,20.00652000021758,234,osdma_ncrmpaf,NAGAR,819.2356579647696,9,11292
86.30360000003085,20.013120000217654,308,osdma_ncrmp,KALIAKANA,1077.4657342628886,13,11292
86.2486400000333,20.014730000217693,17,osdma_ncrmpaf,KHANDASAHI,60.62933138773619,1,11292
86.2880800000316,20.022230000217768,855,osdma_ncrmpaf,OSIAN,2993.807630618959,37,11292
86.28587000003166,20.022920000217766,409,osdma_ncrmp,PATSUNDARPUR,1433.0373780092648,20,11292
86.25195000003316,20.032900000217904,421,osdma_mcs,TALDA,1473.0901320411558,18,11292
86.27837000003203,20.04734000021807,123,osdma_mfsstplan,DIHI KORARA,429.8311492566572,5,11292
86.15242000003767,19.96802000021717,299,osdma_ncrmpaf,ALNGGOLA,1045.4017000352108,17,11292
86.14396000003796,19.9700600002172,222,osdma_ncrmpaf,DURGAPUR,778.5732127652516,12,11292
86.17422000003664,19.971440000217207,24,osdma_ncrmp,JALESHWARPARA,83.34707913877742,1,11292
86.1918400000359,19.988710000217395,195,osdma_ncrmpaf,ITAMBARPUR,683.3492346689237,11,11292
